date,state,deathCumul,positiveCases,totalTestResults,,1019345
3/4/2020,CA,0,53,515,,
3/5/2020,CA,0,53,515,,
3/6/2020,CA,0,60,522,,
3/7/2020,CA,0,69,531,,
3/8/2020,CA,0,88,550,,
3/9/2020,CA,0,114,804,,
3/10/2020,CA,0,133,823,,
3/11/2020,CA,0,157,1073,,
3/12/2020,CA,4,202,1118,,
3/13/2020,CA,4,202,1118,,
3/14/2020,CA,5,252,1168,,
3/15/2020,CA,5,293,1209,,
3/16/2020,CA,6,335,8316,,
3/17/2020,CA,11,483,8464,,
3/18/2020,CA,13,611,8592,,
3/19/2020,CA,18,924,9711,,
3/20/2020,CA,20,1063,11487,,
3/21/2020,CA,24,1279,12528,,
3/22/2020,CA,27,1536,12840,,
3/23/2020,CA,27,1733,14300,,
3/24/2020,CA,40,2102,15554,,
3/25/2020,CA,53,2355,18276,,
3/26/2020,CA,65,3006,20386,,
3/27/2020,CA,78,3879,21259,,
3/28/2020,CA,101,4643,25192,,
3/29/2020,CA,123,5708,26257,,
3/30/2020,CA,133,6447,26996,,
3/31/2020,CA,153,7482,29254,,
4/1/2020,CA,171,8155,29927,,
4/2/2020,CA,203,9191,33000,,
4/3/2020,CA,237,10701,35300,,
4/4/2020,CA,276,12026,113700,,
4/5/2020,CA,319,13438,116533,,
4/6/2020,CA,343,14336,117431,,
4/7/2020,CA,374,15865,131229,,
4/8/2020,CA,442,16957,144264,,
4/9/2020,CA,492,18309,163500,,
4/10/2020,CA,541,19472,164863,,
4/11/2020,CA,609,20615,173219,,
4/12/2020,CA,651,21794,190328,,
4/13/2020,CA,687,22348,190882,,
4/14/2020,CA,758,23338,202208,,
4/15/2020,CA,821,24424,216486,,
4/16/2020,CA,890,26182,246400,,
4/17/2020,CA,985,27528,251614,,
4/18/2020,CA,1072,28963,259666,,
4/19/2020,CA,1166,30333,280900,,
4/20/2020,CA,1208,30978,290500,,
4/21/2020,CA,1268,33261,300100,,
4/22/2020,CA,1354,35396,465327,,
4/23/2020,CA,1469,37369,482097,,
4/24/2020,CA,1562,39254,494173,,
4/25/2020,CA,1651,41137,506035,,
4/26/2020,CA,1710,42164,526084,,
4/27/2020,CA,1755,43464,553409,,
4/28/2020,CA,1809,45031,577608,,
4/29/2020,CA,1887,46500,603139,,
4/30/2020,CA,1982,48917,625337,,
5/1/2020,CA,2073,50442,654985,,
5/2/2020,CA,2171,52197,685048,,
5/3/2020,CA,2215,53616,715751,,
5/4/2020,CA,2254,54937,747874,,
5/5/2020,CA,2317,56212,779902,,
5/6/2020,CA,2412,58815,809036,,
5/7/2020,CA,2504,60614,842874,,
5/8/2020,CA,2585,62512,875272,,
5/9/2020,CA,2678,64561,912570,,
5/10/2020,CA,2745,66680,955664,,
5/11/2020,CA,2770,67939,991897,,
5/12/2020,CA,2847,69382,1033370,,
5/13/2020,CA,2934,71141,1065592,,
5/14/2020,CA,3032,73164,1104651,,
5/15/2020,CA,3108,74936,1133906,,
5/16/2020,CA,3204,76793,1179126,,
5/17/2020,CA,3261,78839,1235243,,
5/18/2020,CA,3302,80430,1292672,,
5/19/2020,CA,3334,81795,1339316,,
5/20/2020,CA,3436,84057,1380120,,
5/21/2020,CA,3542,86197,1421127,,
5/22/2020,CA,3630,88444,1466773,,
