Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47592.5,0,1,4/10/2018,4.449222,-1.348592,-8.797971,0.007202258,0.03530861,15.52937,0,,0
47592.563,0.063,,4/10/2018,4.349519,-1.448491,-8.698024,0.007202258,0.009244948,15.52937,0,,0
47592.625,0.125,,4/10/2018,4.548924,-1.4988,-8.797971,0.007202258,0.01360649,15.52937,0,,0
47592.688,0.188,,4/10/2018,5.298959,-1.448491,-8.598077,0.007202258,0.02212962,15.52937,0,,0
47592.75,0.25,,4/10/2018,6.299004,-1.148794,-7.74815,0.007202258,0.02249103,15.52937,0,,0
47592.813,0.313,,4/10/2018,6.348856,-0.4487821,-7.698558,0.007202258,-0.01751931,15.52937,0,,0
47592.875,0.375,,4/10/2018,6.699325,-1.248693,-7.898451,0.007202258,-0.1121915,15.52937,0,,0
47592.938,0.438,,4/10/2018,6.749176,-1.898396,-7.898451,0.007202258,-0.2577864,15.52937,0,,0
47593,0.5,,4/10/2018,5.94929,-2.348302,-7.998398,-0.4681468,-0.3805527,15.52937,0,,0
47593.063,0.563,,4/10/2018,5.54897,-2.198812,-7.74815,-0.4681468,-0.4507291,15.52937,0,,0
47593.125,0.625,,4/10/2018,4.798936,-2.39861,-7.348363,-0.4681468,-0.4446384,15.52937,0,,0
47593.188,0.688,,4/10/2018,4.749084,-2.298711,-6.998169,-0.4681468,-0.3864941,15.52937,0,,0
47593.25,0.75,,4/10/2018,4.999096,-1.748189,-7.098116,-0.4681468,-0.2845652,15.52937,0,,0
47593.313,0.813,,4/10/2018,5.499119,-1.598699,-7.248417,-0.4681468,-0.2171126,15.52937,0,,0
47593.375,0.875,,4/10/2018,5.699279,-1.4988,-7.348363,-0.4681468,-0.2122812,15.52937,0,,0
47593.438,0.938,,4/10/2018,5.699279,-2.098195,-7.398718,-0.4681468,-0.2721902,15.52937,0,,0
47593.5,1,24,4/10/2018,5.449268,-2.198812,-7.398718,-0.4681468,-0.3270035,15.52937,0,,0
47593.563,1.063,,4/10/2018,5.699279,-2.598409,-7.348363,-0.4681468,-0.3527374,15.52937,0,,0
47593.625,1.125,,4/10/2018,5.699279,-2.39861,-7.398718,-0.4681468,-0.3114612,15.52937,0,,0
47593.688,1.188,,4/10/2018,5.649428,-2.498509,-7.14847,-0.4681468,-0.1973,15.52937,0,,0
47593.75,1.25,,4/10/2018,5.249107,-1.698598,-6.948577,-0.4681468,-0.03028938,15.52937,0,,0
47593.813,1.313,,4/10/2018,4.999096,-1.298283,-6.948577,-0.4681468,0.1135667,15.52937,0,,0
47593.875,1.375,,4/10/2018,4.798936,-1.198384,-7.098116,-0.4681468,0.1982155,15.52937,0,,0
47593.938,1.438,,4/10/2018,4.849542,-1.4988,-7.44831,-0.4681468,0.2217511,15.52937,0,,0
47594,1.5,,4/10/2018,5.249107,-1.998295,-7.798505,0.007202258,0.1883187,15.52937,0,,0
47594.063,1.563,,4/10/2018,5.54897,-1.798497,-7.498665,0.007202258,0.1240568,15.52937,0,,0
47594.125,1.625,,4/10/2018,6.149451,-1.598699,-7.248417,0.007202258,0.05714887,15.52937,0,,0
47594.188,1.688,,4/10/2018,5.848833,-1.848806,-7.698558,0.007202258,0.0157833,15.52937,0,,0
47594.25,1.75,,4/10/2018,5.34881,-1.648289,-7.698558,0.007202258,-0.007880061,15.52937,0,,0
47594.313,1.813,,4/10/2018,5.199256,-1.898396,-7.44831,0.007202258,-0.003614427,15.52937,0,,0
47594.375,1.875,,4/10/2018,5.048947,-1.948705,-7.498665,0.007202258,0.02077439,15.52937,0,,0
47594.438,1.938,,4/10/2018,5.249107,-1.598699,-7.398718,0.007202258,0.06150425,15.52937,0,,0
47594.5,2,,4/10/2018,5.449268,-1.4988,-7.348363,0.007202258,0.09487286,15.52937,0,,0
