Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Pitch,Roll,Stroke Detected,
0,8.499256,-0.5486811,-4.298085,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.063,8.64881,-0.4487821,-4.098192,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.125,8.598959,-0.5486811,-4.148547,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.188,8.598959,-0.5982713,-4.398032,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.25,8.598959,-0.2482652,-4.248493,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.313,8.549107,-0.3481643,-4.448386,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.375,8.348947,-0.7484792,-4.298085,5.985077,2.437164,NaN,0.3063315,-91.18358,17.61478,0,
0.438,8.348947,-0.4983722,-4.448386,5.985077,2.43518,NaN,0.3063315,-91.18358,17.61478,0,
0.5,8.398798,-0.6981704,-4.34844,4.487007,2.433197,NaN,0.3063315,-91.18358,17.61478,0,
0.563,8.499256,-0.6485802,-4.398032,4.487007,2.429229,NaN,0.3063315,-91.18358,17.61478,0,
0.625,8.249245,-0.6485802,-4.398032,4.487007,2.423279,NaN,0.3063315,-91.18358,17.61478,0,
0.688,8.449405,-0.5486811,-4.548333,4.487007,2.415344,NaN,0.3063315,-91.18358,17.61478,0,
0.75,8.398798,-0.4983722,-4.398032,4.487007,2.411377,NaN,0.3063315,-91.18358,17.61478,0,
0.813,8.199393,-0.4983722,-4.498741,4.487007,2.405426,NaN,0.3063315,-91.18358,17.61478,0,
0.875,8.299096,-0.5486811,-4.548333,4.487007,2.401459,NaN,0.3063315,-91.18358,17.61478,0,
0.938,8.249245,-0.7987881,-4.64828,4.487007,2.399475,NaN,0.3063315,-91.18358,17.61478,0,
1,8.249245,-0.5982713,-4.548333,4.487007,2.399475,NaN,0.3063315,-91.18358,17.61478,0,
1.063,8.098936,-0.5486811,-4.548333,4.487007,2.395508,NaN,0.3063315,-91.18358,17.61478,0,
1.125,8.098936,-0.6485802,-4.64828,4.487007,2.391512,NaN,0.3063315,-91.18358,17.61478,0,
1.188,8.098936,-0.6485802,-4.64828,4.487007,2.385504,NaN,0.3063315,-91.18358,17.61478,0,
1.25,8.148787,-0.5982713,-4.64828,4.487007,2.377483,NaN,0.3063315,-91.18358,17.61478,0,
1.313,8.098936,-0.5486811,-4.64828,4.487007,2.36745,NaN,0.3063315,-91.18358,17.61478,0,
1.375,7.999233,-0.5982713,-4.748226,4.487007,2.353392,NaN,0.3063315,-91.18358,17.61478,0,
1.438,8.049084,-0.5486811,-4.748226,4.487007,2.335338,NaN,0.3063315,-91.18358,17.61478,0,
1.5,7.898775,-0.7987881,-4.948119,3.478691,2.313289,NaN,0.3063315,-91.18358,17.61478,0,
1.563,7.799073,-0.7484792,-4.898528,3.478691,2.287243,NaN,0.3063315,-90.72328,18.0042,0,
1.625,7.949382,-0.6485802,-4.898528,3.478691,2.257202,NaN,0.3063315,-90.25797,18.42296,0,
1.688,7.848924,-0.8483783,-4.998474,3.478691,2.231156,NaN,0.3063315,-89.78747,18.87661,0,
1.75,7.799073,-0.7987881,-5.048066,3.478691,2.209086,NaN,0.3063315,-89.31662,19.35162,0,
1.813,7.749222,-0.6485802,-5.048066,3.478691,2.190993,NaN,0.3063315,-88.84247,19.85487,0,
1.875,7.799073,-0.8483783,-5.248722,3.478691,2.176876,NaN,0.3063315,-88.36707,20.38646,0,
1.938,7.648764,-0.7987881,-5.298314,3.478691,2.164722,NaN,0.3063315,-87.89095,20.93496,0,
2,7.949382,-0.8483783,-5.248722,3.478691,2.150536,NaN,0.3063315,-87.41689,21.52495,0,
2.063,7.749222,-0.7987881,-5.248722,3.478691,2.124382,NaN,0.3063315,-86.93769,22.14282,0,
2.125,7.699371,-0.8986872,-5.248722,3.478691,2.08626,NaN,0.3063315,-86.45726,22.79489,0,
2.188,7.848924,-0.7987881,-5.39826,3.478691,2.03617,NaN,0.3063315,-85.97478,23.4761,0,
2.25,7.699371,-1.198384,-5.648508,3.478691,1.972129,NaN,0.3063315,-85.48901,24.19699,0,
2.313,7.648764,-1.198384,-5.6981,3.478691,1.894136,NaN,0.3063315,-85.00825,24.92078,0,
2.375,7.749222,-0.8986872,-5.548562,3.478691,1.822151,NaN,0.3063315,-84.53493,25.65447,0,
2.438,7.699371,-1.348592,-5.6981,3.478691,1.756174,NaN,0.3063315,-84.05959,26.41443,0,
2.5,7.848924,-1.198384,-5.598154,2.988937,1.696206,NaN,0.3063315,-83.58767,27.17552,0,
2.563,7.648764,-1.398182,-5.648508,2.988937,1.64423,NaN,0.3063315,-83.1096,27.95267,0,
2.625,7.648764,-1.348592,-5.648508,2.988937,1.59625,NaN,0.3063315,-82.6324,28.72374,0,
2.688,7.749222,-1.398182,-5.748455,2.988937,1.540249,NaN,0.3063315,-82.15459,29.49192,0,
2.75,7.598913,-1.398182,-5.748455,2.988937,1.474215,NaN,0.3063315,-81.67325,30.25763,0,
2.813,7.549062,-1.698598,-5.748455,2.988937,1.394152,NaN,0.3063315,-81.18928,31.02689,0,
2.875,7.598913,-1.598699,-5.748455,2.988937,1.310093,NaN,0.3063315,-80.70576,31.77698,0,
2.938,7.549062,-1.848806,-5.848402,2.988937,1.228046,NaN,0.3063315,-80.22049,32.51989,0,
3,7.348901,-1.948705,-5.798047,2.988937,1.152008,NaN,0.3063315,-79.73649,33.23645,0,
3.063,7.399508,-1.798497,-5.798047,2.988937,1.086002,NaN,0.3063315,-79.25619,33.92237,0,
3.125,7.348901,-1.998295,-5.798047,2.988937,1.038022,NaN,0.3063315,-78.77167,34.59165,0,
3.188,7.249199,-2.048604,-5.798047,2.988937,0.9980624,NaN,0.3063315,-78.28727,35.22011,0,
3.25,7.199348,-1.948705,-5.6981,2.988937,0.9660948,NaN,0.3063315,-77.80287,35.80725,0,
3.313,7.149496,-2.048604,-5.748455,2.988937,0.9401354,NaN,0.3063315,-77.31496,36.36388,0,
3.375,7.09889,-2.098195,-5.748455,2.988937,0.914176,NaN,0.3063315,-76.82713,36.88431,0,
3.438,6.949336,-2.048604,-5.748455,2.988937,0.8842207,NaN,0.3063315,-76.3393,37.364,0,
3.5,6.999187,-2.248402,-5.798047,2.484779,0.8522242,NaN,0.3063315,-75.85115,37.81468,0,
3.563,6.949336,-2.248402,-5.6981,2.484779,0.816203,NaN,0.3063315,-75.36219,38.22233,0,
3.625,6.899485,-2.148503,-5.748455,2.484779,0.7781695,NaN,0.3063315,-74.8754,38.58425,0,
3.688,6.848878,-2.298711,-5.848402,2.484779,0.7461156,NaN,0.3063315,-74.39085,38.90754,0,
3.75,6.699325,-2.348302,-5.6981,2.484779,0.7200413,NaN,0.3063315,-73.91431,39.18646,0,
3.813,6.649474,-2.098195,-5.898756,2.484779,0.7019876,NaN,0.3063315,-73.44418,39.40732,0,
3.875,6.598867,-2.298711,-5.898756,2.484779,0.6919546,NaN,0.3063315,-72.98182,39.5922,0,
3.938,6.598867,-2.298711,-5.898756,2.484779,0.6879299,NaN,0.3063315,-72.52976,39.73717,0,
4,6.499165,-2.298711,-5.898756,2.484779,0.6859176,NaN,0.3063315,-72.09103,39.83388,0,
4.063,6.399462,-2.298711,-5.948348,2.484779,0.6859176,NaN,0.3063315,-71.66428,39.89615,0,
4.125,6.348856,-2.148503,-5.998703,2.484779,0.6859176,NaN,0.3063315,-71.25614,39.92685,0,
4.188,6.399462,-2.198812,-6.048295,2.484779,0.6859176,NaN,0.3063315,-70.86659,39.93914,0,
4.25,6.299004,-2.198812,-6.148241,2.484779,0.6859176,NaN,0.3063315,-70.49127,39.92926,0,
4.313,6.249153,-2.39861,-6.198596,2.484779,0.6859176,NaN,0.3063315,-70.13088,39.90118,0,
4.375,6.249153,-2.298711,-6.248188,2.484779,0.6859176,NaN,0.3063315,-69.78429,39.83916,0,
4.438,6.199302,-2.498509,-6.148241,2.484779,0.6859176,NaN,0.3063315,-69.44768,39.76144,0,
4.5,6.299004,-2.298711,-6.298543,1.490867,0.683934,NaN,0.3063315,-69.11927,39.66046,0,
4.563,6.348856,-2.448201,-6.448081,1.490867,0.6799668,NaN,0.3063315,-68.79177,39.54383,0,
4.625,6.149451,-2.39861,-6.398489,1.490867,0.6740159,NaN,0.3063315,-68.46307,39.4125,0,
4.688,6.249153,-1.998295,-6.448081,1.490867,0.6660814,NaN,0.3063315,-68.13724,39.2743,0,
4.75,6.098844,-2.198812,-6.598383,1.490867,0.658147,NaN,0.3063315,-67.80524,39.15333,0,
4.813,6.199302,-2.248402,-6.598383,1.490867,0.6541797,NaN,0.3063315,-67.47174,39.04102,0,
4.875,6.299004,-2.248402,-6.548028,1.490867,0.6541797,NaN,0.3063315,-67.13653,38.94602,0,
4.938,6.299004,-2.348302,-6.648737,1.490867,0.658147,NaN,0.3063315,-66.79137,38.87499,0,
5,6.399462,-2.548818,-6.748684,1.490867,0.6660814,NaN,0.3063315,-66.43726,38.81409,0,
5.063,6.299004,-2.448201,-6.698329,1.490867,0.6740159,NaN,0.3063315,-66.07363,38.74608,0,
5.125,6.399462,-2.348302,-6.748684,1.490867,0.6799668,NaN,0.3063315,-65.70159,38.67025,0,
5.188,6.449313,-2.39861,-6.748684,1.490867,0.683934,NaN,0.3063315,-65.32357,38.59137,0,
5.25,6.598867,-2.298711,-6.748684,1.490867,0.6859176,NaN,0.3063315,-64.93507,38.48805,0,
5.313,6.449313,-2.148503,-6.798276,1.490867,0.6859176,NaN,0.3063315,-64.52781,38.37698,0,
5.375,6.749176,-1.998295,-6.848631,1.490867,0.6859176,NaN,0.3063315,-64.09978,38.27502,0,
5.438,6.749176,-2.198812,-6.698329,1.490867,0.6859176,NaN,0.3063315,-63.63762,38.18872,0,
5.5,6.799027,-2.148503,-6.798276,0.9867094,0.6859176,NaN,0.3063315,-63.13425,38.10994,0,
5.563,6.949336,-2.298711,-6.948577,0.9867094,0.683934,NaN,0.3063315,-62.58536,38.03818,0,
5.625,6.999187,-2.448201,-6.898222,0.9867094,0.6759708,NaN,0.3063315,-61.98786,37.96829,0,
5.688,6.699325,-2.248402,-6.448081,0.9867094,0.662028,NaN,0.3063315,-61.33229,37.89286,0,
5.75,6.499165,-2.298711,-6.698329,0.9867094,0.6421056,NaN,0.3063315,-60.60791,37.82295,0,
5.813,6.598867,-2.498509,-7.098116,0.9867094,0.6141913,NaN,0.3063315,-59.82776,37.76746,0,
5.875,6.348856,-2.298711,-7.248417,0.9867094,0.5742605,NaN,0.3063315,-58.9958,37.71796,0,
5.938,6.149451,-2.448201,-7.248417,0.9867094,0.5282926,NaN,0.3063315,-58.11251,37.68792,0,
6,5.899439,-2.698308,-7.198062,0.9867094,0.4762875,NaN,0.3063315,-57.18447,37.67622,0,
6.063,5.649428,-2.348302,-7.44831,0.9867094,0.4182455,NaN,0.3063315,-56.22033,37.67019,0,
6.125,5.399416,-2.448201,-7.44831,0.9867094,0.3581911,NaN,0.3063315,-55.22743,37.67275,0,
6.188,5.399416,-2.798207,-7.348363,0.9867094,0.3101246,NaN,0.3063315,-54.2049,37.68002,0,
6.25,5.149405,-2.748616,-7.44831,0.9867094,0.2740747,NaN,0.3063315,-53.1512,37.68205,1,#* normal dive for animation 
6.313,5.149405,-2.748616,-7.698558,0.9867094,0.2500414,NaN,0.3063315,-52.07917,37.66443,0,
6.375,5.399416,-3.298421,-7.798505,0.9867094,0.2420207,NaN,0.3063315,-51.00139,37.6126,0,
6.438,5.199256,-3.548528,-7.848096,0.9867094,0.2519963,NaN,0.3063315,-49.92113,37.49224,0,
6.5,5.048947,-3.098623,-7.898451,0.007202258,0.2760008,NaN,0.3063315,-48.84698,37.28777,0,
6.563,4.899393,-2.748616,-7.798505,0.007202258,0.3120219,NaN,0.3063315,-47.77027,37.02129,0,
6.625,4.899393,-2.348302,-7.74815,0.007202258,0.3600597,NaN,0.3063315,-46.68589,36.72338,0,
6.688,5.048947,-2.198812,-7.548257,0.007202258,0.4121222,NaN,0.3063315,-45.58421,36.42116,0,
6.75,4.749084,-1.54839,-7.598611,0.007202258,0.4582051,NaN,0.3063315,-44.45673,36.10223,0,
6.813,4.798936,-1.998295,-7.848096,0.007202258,0.4882467,NaN,0.3063315,-43.3022,35.79501,0,
6.875,4.599531,-2.348302,-8.098344,0.007202258,0.5002633,NaN,0.3063315,-42.13751,35.47023,0,
6.938,4.298913,-2.648717,-8.198291,0.007202258,0.4922426,NaN,0.3063315,-40.96808,35.13423,0,
7,3.899348,-2.548818,-7.998398,0.007202258,0.4482008,NaN,0.3063315,-39.8111,34.78108,0,
7.063,3.649336,-2.448201,-8.248646,0.007202258,0.3761585,NaN,0.3063315,-38.68853,34.38648,0,
7.125,3.548878,-2.498509,-8.448539,0.007202258,0.2841652,NaN,0.3063315,-37.619,33.9437,0,
7.188,3.149313,-2.598409,-8.648432,0.007202258,0.176188,NaN,0.3063315,-36.61555,33.4498,0,
7.25,2.748993,-3.148213,-8.648432,0.007202258,0.05625163,NaN,0.3063315,-35.69373,32.90736,0,
7.313,2.999004,-3.39832,-8.548486,0.007202258,-0.03568425,NaN,0.3063315,-34.86216,32.29111,0,
7.375,2.899302,-3.148213,-8.398184,0.007202258,-0.0996484,NaN,0.3063315,-34.10858,31.58324,0,
7.438,2.64929,-3.148213,-8.648432,0.007202258,-0.1256365,NaN,0.3063315,-33.43364,30.809,0,
7.5,2.798844,-3.548528,-8.698024,-0.4681468,-0.1116363,NaN,0.3063315,-32.83422,29.98355,0,
7.563,2.949153,-3.298421,-8.698024,-0.4681468,-0.05966007,NaN,0.3110443,-32.30188,29.0664,0,
7.625,2.798844,-2.798207,-8.648432,-0.4681468,0.04029651,NaN,0.3157571,-31.8292,28.03999,0,
7.688,2.349428,-2.698308,-8.548486,-0.4681468,0.1982664,NaN,0.3204699,-31.41433,26.93712,0,
7.75,2.399279,-3.098623,-8.698024,-0.4681468,0.3942123,NaN,0.3251827,-31.06753,25.78086,0,
7.813,2.599439,-2.698308,-8.748379,-0.4681468,0.628163,NaN,0.3298955,-30.78661,24.57482,0,
7.875,3.298867,-1.598699,-8.498131,-0.4681468,0.9001184,NaN,0.3346083,-30.56178,23.34196,0,
7.938,3.399325,-0.8483783,-8.198291,-0.4681468,1.15011,NaN,0.3393211,-30.36651,22.12391,0,
8,3.548878,-0.6485802,-8.598077,-0.4681468,1.356118,NaN,0.3440339,-30.19083,20.96283,0,
8.063,3.199165,-0.8986872,-9.398413,-0.4681468,1.522166,NaN,0.3487467,-30.01997,19.85303,0,
8.125,2.849451,-1.4988,-9.398413,-0.4681468,1.636209,NaN,0.3534595,-29.8729,18.78833,0,
8.188,2.299577,-1.948705,-8.998627,-0.4681468,1.698247,NaN,0.3581723,-29.77493,17.74815,0,
8.25,2.149268,-1.298283,-8.998627,-0.4681468,1.762269,NaN,0.3628851,-29.75425,16.6913,0,
8.313,1.599393,-1.198384,-8.797971,-0.4681468,1.844287,NaN,0.3675978,-29.83177,15.63242,0,
8.375,2.24897,-0.5982713,-8.698024,-0.4681468,1.962239,NaN,0.3723106,-30.03512,14.55796,0,
8.438,2.149268,-1.698598,-8.998627,-0.4681468,2.124148,NaN,0.3770234,-30.33217,13.49182,0,
8.5,2.349428,-2.048604,-8.797971,-0.4681468,2.345967,NaN,0.3817362,-30.69913,12.39728,0,
8.563,2.949153,-0.3481643,-8.198291,-0.4681468,2.5817,NaN,0.386449,-31.10992,11.28098,0,
8.625,3.298867,0.4495908,-7.598611,-0.4681468,2.817318,NaN,0.3911618,-31.53318,10.23148,0,
8.688,4.099508,0.5494898,-8.148699,-0.4681468,3.024935,NaN,0.3958746,-31.95341,9.289984,0,
8.75,4.19921,0.4991809,-8.148699,-0.4681468,3.204552,NaN,0.4005874,-32.34917,8.454311,0,
8.813,3.849496,0.4991809,-8.348592,-0.4681468,3.320263,NaN,0.4053002,-32.71524,7.733759,0,
8.875,3.949199,0.6989791,-8.598077,-0.4681468,3.376091,14.08592,0.410013,-33.05562,7.152517,1,#5 Event Marker 
8.938,4.048901,0.000404349,-8.348592,-0.4681468,3.370112,14.08592,0.4145892,-33.36593,6.724476,0,
9,3.548878,-0.9482773,-8.598077,-0.4681468,3.316267,14.08592,0.4190288,-33.62599,6.413387,0,
9.063,3.298867,0.3992819,-8.548486,-0.4681468,3.204552,14.08592,0.4233317,-33.84083,6.162233,0,
9.125,3.548878,1.899205,-8.848325,-0.4681468,3.058915,14.08592,0.4274981,-34.01734,6.045722,0,
9.188,3.548878,0.7492879,-9.048219,-0.4681468,2.911295,14.08592,0.4315279,-34.1562,6.139523,0,
9.25,3.699187,-0.1986751,-9.19852,-0.4681468,2.7796,14.08592,0.4354211,-34.25421,6.394514,0,
9.313,3.499027,-0.7484792,-9.148165,-0.4681468,2.663833,14.08592,0.4391777,-34.30374,6.768247,0,
9.375,3.548878,-1.148794,-9.148165,-0.4681468,2.584,14.08592,0.4427976,-34.31839,7.23822,0,
9.438,3.499027,-1.098485,-8.89868,-0.4681468,2.538089,14.08592,0.446281,-34.30128,7.766275,0,
9.5,3.249016,-1.198384,-8.797971,0.007202258,2.514113,14.08592,0.4496278,-34.26067,8.333541,0,
9.563,2.349428,-0.04846713,-8.448539,0.007202258,2.504109,14.08592,0.4528379,-34.2032,8.921494,0,
9.625,2.44913,-0.4487821,-8.448539,0.007202258,2.508076,14.08592,0.4559115,-34.15271,9.572133,0,
9.688,3.499027,-1.048176,-8.498131,0.007202258,2.514027,14.08592,0.4588484,-34.10699,10.26943,0,
9.75,4.349519,-0.4983722,-8.298238,0.007202258,2.515982,14.08592,0.4616488,-34.03315,11.00026,0,
9.813,4.798936,0.04927583,-7.398718,0.007202258,2.511957,14.08592,0.4643126,-33.90002,11.79817,0,
9.875,5.74913,0.1491749,-7.098116,0.007202258,2.465961,14.08592,0.4668397,-33.68623,12.66437,0,
9.938,5.54897,0.4495908,-7.74815,0.007202258,2.371983,14.08592,0.4692302,-33.35549,13.59521,0,
10,4.149359,0.2490739,-8.648432,0.007202258,2.23201,14.08592,0.4714842,-32.92983,14.59721,0,
10.063,3.149313,-0.5486811,-8.598077,0.007202258,2.038048,14.08592,0.4736015,-32.4594,15.69518,0,
