ECG,AcX,AcY,AcZ,Depth
1,1.49,1.14,6.14,168.8
1,1.49,1.14,6.14,168.8
1,1.49,1.14,6.14,116
1,4.9,1.14,6.14,116
1,4.9,0.76,6.14,116
1,4.9,0.76,6.28,116
1,4.9,0.76,6.28,116
1,4.9,0.76,6.28,116
1,5.06,0.76,6.28,116
1,5.06,0.62,6.28,116
24,5.06,0.62,5.98,116
51,5.06,0.62,5.98,116
115,5.06,0.62,5.98,116
117,5.06,0.62,5.98,116
106,5.06,1.08,5.98,116
149,5.06,1.08,6.28,116
285,5.06,1.08,6.28,116
1026,5.06,1.08,6.28,116.2
1562,4.9,1.08,6.28,116.2
1955,4.9,0.76,6.28,116.2
2106,4.9,0.76,6.28,116.2
2243,4.9,0.76,6.28,116.2
2303,4.9,0.76,6.28,116.2
2327,5.06,0.76,6.28,116.2
2346,5.06,0.62,6.28,116.2
2340,5.06,0.62,6.6,116.2
2342,5.06,0.62,6.6,116.2
2331,5.06,0.62,6.6,116.2
2305,4.9,0.62,6.6,116.2
2334,4.9,1.22,6.6,116.2
2323,4.9,1.22,6.14,116.2
2283,4.9,1.22,6.14,116.2
2272,4.9,1.22,6.14,116.4
2227,5.06,1.22,6.14,116.4
2189,5.06,1.22,6.14,116.4
2119,5.06,1.22,6.44,116.4
2093,5.06,1.22,6.44,116.4
2060,5.06,1.22,6.44,116.4
2038,5.06,1.22,6.44,116.4
2036,5.06,1.22,6.44,116.4
2000,5.06,1.22,6.28,116.4
1960,5.06,1.22,6.28,116.4
1976,5.06,1.22,6.28,116.4
1907,5.06,1.22,6.28,116.4
1899,5.06,0.76,6.28,116.4
1928,5.06,0.76,5.98,116.4
1844,5.06,0.76,5.98,116.4
1840,5.06,0.76,5.98,116.4
1836,4.9,0.76,5.98,116.4
1766,4.9,1.08,5.98,116.4
1767,4.9,1.08,5.68,116.4
1708,4.9,1.08,5.68,116.4
1706,4.9,1.08,5.68,116.6
1684,4.9,1.08,5.68,116.6
1606,4.9,0.92,5.68,116.6
1620,4.9,0.92,6.14,116.6
1605,4.9,0.92,6.14,116.6
1610,4.9,0.92,6.14,116.6
1604,5.06,0.92,6.14,116.6
1601,5.06,1.08,6.14,116.6
1586,5.06,1.08,6.14,116.6
1601,5.06,1.08,6.14,116.6
1567,5.06,1.08,6.14,116.6
1601,4.76,1.08,6.14,116.6
1589,4.76,0.92,6.14,116.6
1577,4.76,0.92,5.98,116.6
1522,4.76,0.92,5.98,116.6
1559,4.76,0.92,5.98,116.6
1501,4.9,0.92,5.98,116.6
1495,4.9,0.76,5.98,116.6
1447,4.9,0.76,6.14,116.6
1407,4.9,0.76,6.14,116.6
1367,4.9,0.76,6.14,116.8
1396,5.06,0.76,6.14,116.8
1439,5.06,0.76,6.14,116.8
1443,5.06,0.76,5.98,116.8
1439,5.06,0.76,5.98,116.8
1413,5.06,0.76,5.98,116.8
1466,5.06,0.76,5.98,116.8
1425,5.06,1.08,5.98,116.8
1428,5.06,1.08,5.98,116.8
1434,5.06,1.08,5.98,116.8
1458,5.06,1.08,5.98,116.6
1431,5.06,1.08,5.98,116.6
1418,5.06,0.76,5.98,116.6
1470,5.06,0.76,5.98,116.6
1422,5.06,0.76,5.98,116.6
1450,5.06,0.76,5.98,116.8
1414,5.06,0.76,5.98,116.8
1322,5.06,1.08,5.98,116.8
1344,5.06,1.08,5.98,116.8
1266,5.06,1.08,5.98,116.8
1305,5.06,1.08,5.98,116.8
1306,4.9,1.08,5.98,116.8
1241,4.9,0.92,5.98,116.8
1266,4.9,0.92,6.28,116.8
1333,4.9,0.92,6.28,116.8
1290,4.9,0.92,6.28,116.8
1255,4.9,0.92,6.28,116.8
1262,4.9,1.22,6.28,116.8
1321,4.9,1.22,5.98,116.8
1318,4.9,1.22,5.98,116.8
1297,4.9,1.22,5.98,117
1346,4.9,1.22,5.98,117
1309,4.9,0.62,5.98,117
1331,4.9,0.62,6.14,117
1295,4.9,0.62,6.14,117
1248,4.9,0.62,6.14,117
1255,4.9,0.62,6.14,117
1210,4.9,0.76,6.14,117
1225,4.9,0.76,5.98,117
1291,4.9,0.76,5.98,117
1226,4.9,0.76,5.98,117.2
1270,5.22,0.76,5.98,117.2
